"Hours_Studied","Attendance","Previous_Scores","Motivation_Level","Family_Income","Teacher_Quality","School_Type","Parental_Education_Level","Exam_Score","gruppi","Previous_Level","Score_Groups","Study_level"
7,75,98,"Low","Low","High","Public","College",62,"0-10","3","1","1"
11,73,68,"High","Low","High","Private","College",64,"11-20","2","1","2"
12,85,78,"High","Medium","Medium","Public","College",68,"11-20","2","2","2"
28,67,60,"High","Medium","Medium","Public","High School",65,"21-30","1","1","3"
21,94,90,"Low","Medium","Medium","Public","Postgraduate",71,"21-30","3","3","3"
22,92,52,"Low","Medium","Medium","Private","Postgraduate",68,"21-30","1","2","3"
7,79,85,"Medium","Medium","Medium","Public","High School",62,"0-10","2","1","1"
13,94,70,"Medium","Medium","Medium","Private","High School",68,"11-20","2","2","2"
25,70,79,"Low","High","Medium","Public","High School",68,"21-30","2","2","3"
22,61,80,"High","Medium","High","Public","Postgraduate",67,"21-30","2","2","3"
19,85,86,"Medium","Low","Medium","Public","College",67,"11-20","2","2","2"
23,78,60,"Medium","High","High","Public","High School",70,"21-30","1","3","3"
30,83,77,"Medium","Low","Medium","Public","High School",69,"21-30","2","2","4"
19,96,71,"Medium","Low","High","Private","Postgraduate",70,"11-20","2","3","2"
20,99,64,"Low","High","Medium","Public","High School",69,"11-20","2","2","3"
21,85,75,"Low","High","High","Public","High School",70,"21-30","2","3","3"
34,91,98,"Medium","Medium","Medium","Public","",72,"30+","3","3","4"
7,63,97,"Medium","Low","Medium","Public","High School",59,"0-10","3","1","1"
24,66,64,"Medium","Medium","High","Public","High School",64,"21-30","2","1","3"
19,89,94,"Medium","High","Medium","Private","College",72,"11-20","3","3","2"
23,77,94,"Medium","High","Medium","Private","Postgraduate",70,"21-30","3","3","3"
16,78,62,"Medium","High","High","Public","High School",63,"11-20","1","1","2"
20,72,80,"Medium","Low","High","Private","College",66,"11-20","2","2","3"
24,84,93,"Medium","High","Medium","Public","High School",72,"21-30","3","3","3"
39,67,76,"Medium","Medium","Medium","Private","",71,"30+","2","3","4"
25,85,68,"Medium","High","Medium","Public","Postgraduate",71,"21-30","2","3","3"
15,67,83,"Low","Medium","Low","Public","High School",62,"11-20","2","1","2"
17,63,59,"Medium","Low","High","Public","Postgraduate",62,"11-20","1","1","2"
17,73,58,"Medium","Medium","Medium","Public","College",64,"11-20","1","1","2"
9,69,92,"Medium","Low","Medium","Private","Postgraduate",65,"0-10","3","1","1"
18,96,52,"Low","Low","Medium","Private","College",68,"11-20","1","2","2"
24,62,90,"Low","High","Medium","Private","College",67,"21-30","3","2","3"
12,67,65,"Low","High","Medium","Public","High School",61,"11-20","2","1","2"
26,82,74,"High","Medium","Medium","Public","High School",68,"21-30","2","2","3"
23,79,77,"Medium","Low","High","Public","High School",68,"21-30","2","2","3"
16,62,88,"Medium","Low","High","Public","High School",62,"11-20","3","1","2"
19,60,94,"High","Low","Low","Private","High School",62,"11-20","3","1","2"
30,100,90,"Low","Medium","Low","Public","High School",74,"21-30","3","3","4"
24,86,79,"Medium","Low","Medium","Public","High School",68,"21-30","2","2","3"
20,75,67,"Medium","High","Low","Public","College",66,"11-20","2","2","3"
19,79,76,"High","Medium","Medium","Private","",67,"11-20","2","2","2"
20,71,52,"High","Medium","High","Public","High School",65,"11-20","1","1","3"
17,74,62,"Medium","High","Medium","Public","High School",66,"11-20","1","2","2"
7,86,68,"Medium","Low","Medium","Public","Postgraduate",67,"0-10","2","2","1"
32,95,66,"High","High","Medium","Private","College",76,"30+","2","3","4"
21,67,55,"High","High","High","Private","High School",66,"21-30","1","2","3"
22,94,53,"High","Medium","High","Public","College",68,"21-30","1","2","3"
20,65,71,"Low","Low","Medium","Private","College",63,"11-20","2","1","3"
16,69,54,"Medium","Low","Low","Public","College",65,"11-20","1","1","2"
19,61,64,"Medium","Low","Medium","Public","High School",63,"11-20","2","1","2"
10,66,74,"Low","Low","Medium","Public","High School",59,"0-10","2","1","2"
34,97,60,"Medium","Medium","Medium","Private","High School",74,"30+","1","3","4"
13,78,54,"Low","Low","High","Public","College",62,"11-20","1","1","2"
14,63,72,"Medium","Low","Low","Public","High School",59,"11-20","2","1","2"
17,98,72,"High","Low","Medium","Public","High School",71,"11-20","2","3","2"
28,95,96,"Medium","Medium","Medium","Public","Postgraduate",73,"21-30","3","3","3"
20,90,56,"Medium","Low","High","Private","High School",68,"11-20","1","2","3"
13,97,81,"Medium","Low","Medium","Public","High School",68,"11-20","2","2","2"
28,69,66,"Medium","Low","Medium","Public","College",66,"21-30","2","2","3"
24,93,56,"Medium","Low","Medium","Public","College",69,"21-30","1","2","3"
23,88,70,"Medium","Medium","High","Public","High School",70,"21-30","2","3","3"
24,95,71,"High","Medium","High","Public","High School",74,"21-30","2","3","3"
34,92,68,"Low","Medium","High","Public","College",75,"30+","2","3","4"
33,74,88,"Medium","Medium","Medium","Private","College",71,"30+","3","3","4"
16,91,92,"Low","Low","High","Private","High School",71,"11-20","3","3","2"
30,70,57,"Medium","Low","Medium","Public","College",65,"21-30","1","1","4"
22,73,58,"High","Medium","Medium","Private","Postgraduate",65,"21-30","1","1","3"
23,64,71,"Low","Medium","Medium","Public","Postgraduate",65,"21-30","2","1","3"
10,97,66,"Medium","Low","Medium","Public","Postgraduate",67,"0-10","2","2","2"
19,72,91,"High","Low","Medium","Private","",67,"11-20","3","2","2"
15,81,100,"Medium","Low","Medium","Public","Postgraduate",67,"11-20","3","2","2"
25,76,59,"Medium","Medium","Medium","Private","College",71,"21-30","1","3","3"
26,98,88,"Low","Medium","High","Public","College",72,"21-30","3","3","3"
8,73,80,"Low","Low","High","Public","College",62,"0-10","2","1","1"
20,91,82,"Medium","Medium","Medium","Public","College",70,"11-20","2","3","3"
27,94,63,"High","Low","Medium","Public","College",72,"21-30","1","3","3"
19,77,55,"Medium","Medium","Low","Public","College",64,"11-20","1","1","2"
24,75,77,"High","Low","Medium","Private","College",66,"21-30","2","2","3"
22,90,81,"Medium","Medium","Medium","Public","High School",69,"21-30","2","2","3"
22,97,98,"High","Medium","Medium","Public","College",71,"21-30","3","3","3"
18,90,84,"High","Low","High","Private","High School",68,"11-20","2","2","2"
13,69,72,"Low","High","Medium","Public","High School",63,"11-20","2","1","2"
13,96,100,"Medium","Medium","High","Public","High School",71,"11-20","3","3","2"
24,76,69,"Low","Low","Medium","Private","High School",65,"21-30","2","1","3"
20,83,58,"Medium","Low","High","Public","High School",66,"11-20","1","2","3"
19,93,81,"Medium","High","Medium","Private","College",68,"11-20","2","2","2"
17,68,63,"Medium","Low","Medium","Public","High School",61,"11-20","1","1","2"
18,91,96,"Medium","Low","Medium","Private","Postgraduate",71,"11-20","3","3","2"
26,84,71,"Medium","Medium","Medium","Public","High School",70,"21-30","2","3","3"
18,96,57,"Low","Low","Medium","Public","High School",66,"11-20","1","2","2"
12,67,57,"Low","Low","Medium","Private","College",61,"11-20","1","1","2"
24,77,82,"Low","Medium","Medium","Private","High School",67,"21-30","2","2","3"
19,93,68,"Medium","High","High","Public","Postgraduate",72,"11-20","2","3","2"
20,61,68,"Medium","High","Low","Private","High School",65,"11-20","2","1","3"
30,64,81,"Low","Medium","Medium","Public","College",68,"21-30","2","2","4"
20,100,61,"High","Medium","Medium","Public","College",70,"11-20","1","3","3"
22,71,57,"Medium","Low","High","Public","High School",63,"21-30","1","1","3"
13,99,83,"Medium","Medium","Medium","Public","Postgraduate",69,"11-20","2","2","2"
19,67,50,"Medium","High","Medium","Public","High School",62,"11-20","1","1","2"
24,74,95,"High","High","Medium","Public","Postgraduate",71,"21-30","3","3","3"
11,90,59,"Low","Low","High","Public","High School",64,"11-20","1","1","2"
21,86,72,"Medium","High","High","Public","High School",69,"21-30","2","2","3"
21,83,61,"High","Low","High","Public","Postgraduate",71,"21-30","1","3","3"
20,81,61,"Low","Low","Medium","Public","High School",63,"11-20","1","1","3"
26,94,92,"Low","Low","High","Public","High School",72,"21-30","3","3","3"
22,69,79,"Medium","Low","Low","Public","College",66,"21-30","2","2","3"
29,78,66,"Medium","Low","Medium","Public","High School",69,"21-30","2","2","3"
14,66,63,"Low","Low","Medium","Public","High School",60,"11-20","1","1","2"
21,84,61,"Low","Medium","High","Private","High School",68,"21-30","1","2","3"
21,70,78,"Medium","Medium","Low","Public","College",65,"21-30","2","1","3"
14,73,87,"High","Medium","Medium","Public","College",67,"11-20","2","2","2"
26,79,63,"Medium","Low","Medium","Public","High School",66,"21-30","1","2","3"
34,61,67,"High","High","Medium","Private","Postgraduate",68,"30+","2","2","4"
20,64,86,"Medium","Low","High","Private","High School",63,"11-20","2","1","3"
23,87,87,"Medium","Medium","Medium","Private","College",73,"21-30","2","3","3"
21,77,60,"Medium","Medium","Medium","Private","College",66,"21-30","1","2","3"
16,95,69,"Low","Low","High","Public","College",67,"11-20","2","2","2"
9,88,93,"Low","Medium","Medium","Public","Postgraduate",66,"0-10","3","2","1"
16,60,87,"Low","Low","Low","Public","High School",60,"11-20","2","1","2"
12,85,58,"Low","Low","High","Public","Postgraduate",67,"11-20","1","2","2"
30,64,69,"Medium","High","Low","Public","High School",67,"21-30","2","2","4"
19,91,99,"High","Medium","Medium","Public","High School",70,"11-20","3","3","2"
18,100,76,"Low","Low","Medium","Public","High School",69,"11-20","2","2","2"
25,81,86,"Medium","Low","Medium","Public","Postgraduate",68,"21-30","2","2","3"
13,87,55,"High","High","High","Private","High School",67,"11-20","1","2","2"
15,69,92,"Low","Low","Medium","Public","College",63,"11-20","3","1","2"
20,78,80,"High","High","Medium","Public","College",70,"11-20","2","3","3"
26,94,59,"High","Low","Medium","Public","High School",71,"21-30","1","3","3"
23,67,69,"Low","High","Medium","Public","High School",67,"21-30","2","2","3"
21,71,54,"High","Medium","Medium","Private","High School",64,"21-30","1","1","3"
20,78,89,"High","Medium","Medium","Private","College",66,"11-20","3","2","3"
22,88,87,"Low","Low","High","Public","Postgraduate",70,"21-30","2","3","3"
21,75,75,"High","Medium","Medium","Private","High School",65,"21-30","2","1","3"
14,97,73,"Medium","Medium","Low","Public","College",68,"11-20","2","2","2"
20,64,73,"High","Medium","High","Public","Postgraduate",65,"11-20","2","1","3"
14,75,52,"Medium","Medium","Medium","Public","Postgraduate",65,"11-20","1","1","2"
20,88,68,"Medium","Low","High","Public","College",69,"11-20","2","2","3"
17,69,56,"Medium","Medium","Medium","Public","High School",63,"11-20","1","1","2"
35,86,59,"Medium","Low","Low","Public","College",70,"30+","1","3","4"
20,67,98,"Medium","Medium","Medium","Public","College",64,"11-20","3","1","3"
12,62,63,"High","High","Medium","Public","High School",62,"11-20","1","1","2"
19,65,74,"Medium","Low","","Private","High School",66,"11-20","2","2","2"
23,97,94,"High","Low","Medium","Public","High School",73,"21-30","3","3","3"
30,82,71,"Medium","Low","High","Public","Postgraduate",72,"21-30","2","3","4"
16,92,76,"High","High","Medium","Private","Postgraduate",68,"11-20","2","2","2"
11,73,58,"Medium","Medium","Medium","Private","College",62,"11-20","1","1","2"
25,84,64,"Medium","Low","Medium","Private","High School",67,"21-30","2","2","3"
12,80,75,"Medium","Low","High","Public","High School",62,"11-20","2","1","2"
17,98,68,"Medium","Medium","Medium","Public","High School",72,"11-20","2","3","2"
18,90,52,"High","Medium","High","Public","High School",67,"11-20","1","2","2"
20,89,70,"Low","Low","Medium","Private","High School",68,"11-20","2","2","3"
24,62,91,"Medium","Medium","Medium","Public","High School",65,"21-30","3","1","3"
16,82,56,"Low","High","High","Private","High School",79,"11-20","1","3","2"
18,79,51,"High","Medium","Medium","Private","High School",66,"11-20","1","2","2"
20,97,56,"Low","Low","Medium","Private","High School",68,"11-20","1","2","3"
21,70,84,"Medium","High","High","Public","Postgraduate",65,"21-30","2","1","3"
21,71,90,"Medium","Low","Medium","Public","High School",67,"21-30","3","2","3"
23,76,52,"Low","Medium","Medium","Public","College",67,"21-30","1","2","3"
25,70,94,"Medium","Medium","","Public","High School",67,"21-30","3","2","3"
22,65,81,"High","Medium","Medium","Public","College",68,"21-30","2","2","3"
23,94,76,"Low","Medium","Medium","Public","High School",72,"21-30","2","3","3"
11,82,63,"High","Medium","Medium","Public","High School",65,"11-20","1","1","2"
20,94,69,"Low","Low","Medium","Public","High School",65,"11-20","2","1","3"
23,93,97,"Low","Medium","Medium","Public","College",70,"21-30","3","3","3"
24,71,96,"Medium","Low","","Public","High School",67,"21-30","3","2","3"
16,82,81,"Medium","Medium","Medium","Private","College",68,"11-20","2","2","2"
16,63,79,"Medium","Low","High","Public","College",63,"11-20","2","1","2"
17,97,61,"Low","Low","Medium","Public","High School",68,"11-20","1","2","2"
23,76,98,"Medium","Medium","Low","Public","Postgraduate",69,"21-30","3","2","3"
26,76,88,"Low","Low","Low","Public","High School",66,"21-30","3","2","3"
18,72,69,"High","High","Medium","Public","High School",64,"11-20","2","1","2"
25,78,91,"Medium","Low","Medium","Public","High School",69,"21-30","3","2","3"
21,70,61,"Medium","Low","Medium","Public","High School",62,"21-30","1","1","3"
19,75,61,"High","Medium","Medium","Public","High School",65,"11-20","1","1","2"
19,92,90,"Medium","Low","High","Public","High School",70,"11-20","3","3","2"
24,93,78,"Medium","High","Medium","Public","High School",72,"21-30","2","3","3"
22,72,78,"High","Low","High","Public","High School",66,"21-30","2","2","3"
34,79,79,"Low","Medium","High","Private","High School",70,"30+","2","3","4"
15,95,56,"Medium","Low","High","Public","High School",67,"11-20","1","2","2"
23,62,67,"Low","Low","Medium","Public","Postgraduate",65,"21-30","2","1","3"
17,96,79,"Low","Medium","Medium","Private","Postgraduate",68,"11-20","2","2","2"
15,69,62,"Low","Medium","High","Public","High School",62,"11-20","1","1","2"
20,87,75,"High","Low","Medium","Public","Postgraduate",68,"11-20","2","2","3"
21,83,78,"Medium","High","High","Public","High School",69,"21-30","2","2","3"
38,82,97,"Low","Low","Medium","Private","College",72,"30+","3","3","4"
19,94,62,"Medium","Medium","Medium","Public","High School",65,"11-20","1","1","2"
13,64,72,"Medium","Medium","Medium","Private","Postgraduate",63,"11-20","2","1","2"
22,74,99,"Medium","Low","Medium","Public","College",68,"21-30","3","2","3"
8,82,59,"Medium","Medium","Medium","Public","College",62,"0-10","1","1","1"
19,92,89,"Medium","Low","High","Private","Postgraduate",69,"11-20","3","2","2"
20,69,59,"Medium","High","High","Public","High School",65,"11-20","1","1","3"
25,92,93,"High","High","Medium","Public","High School",74,"21-30","3","3","3"
26,76,74,"Medium","Medium","High","Public","High School",70,"21-30","2","3","3"
17,68,99,"High","Medium","Medium","Public","High School",65,"11-20","3","1","2"
19,90,59,"Low","High","Medium","Public","College",70,"11-20","1","3","2"
15,64,84,"Low","Medium","Medium","Public","College",59,"11-20","2","1","2"
13,81,85,"Low","Low","Medium","Private","High School",63,"11-20","2","1","2"
22,63,86,"Low","Low","High","Public","College",64,"21-30","2","1","3"
12,74,55,"High","Medium","Low","Public","Postgraduate",63,"11-20","1","1","2"
18,84,64,"Medium","Low","High","Public","High School",67,"11-20","2","2","2"
14,82,67,"Medium","High","Medium","Public","High School",65,"11-20","2","1","2"
23,76,66,"Medium","Medium","Medium","Public","College",67,"21-30","2","2","3"
31,77,84,"Medium","High","High","Public","",73,"30+","2","3","4"
12,69,53,"Low","Low","High","Public","College",64,"11-20","1","1","2"
9,78,87,"Medium","Medium","High","Private","Postgraduate",65,"0-10","2","1","1"
19,98,76,"Medium","Medium","Medium","Private","High School",72,"11-20","2","3","2"
20,94,59,"High","Medium","Medium","Public","High School",72,"11-20","1","3","3"
21,66,61,"Medium","High","High","Public","College",66,"21-30","1","2","3"
17,61,55,"High","Medium","Medium","Private","College",62,"11-20","1","1","2"
19,97,73,"Medium","Medium","Medium","Private","College",68,"11-20","2","2","2"
22,81,80,"Low","Medium","Medium","Public","College",67,"21-30","2","2","3"
26,82,79,"Medium","Medium","Medium","Public","Postgraduate",69,"21-30","2","2","3"
8,91,98,"Medium","Medium","Medium","Private","High School",67,"0-10","3","2","1"
18,73,65,"Medium","Low","High","Public","College",63,"11-20","2","1","2"
21,79,88,"Low","Low","Medium","Private","High School",65,"21-30","3","1","3"
14,99,86,"Low","High","High","Private","College",71,"11-20","2","3","2"
30,87,53,"Low","Low","High","Private","Postgraduate",70,"21-30","1","3","4"
16,66,97,"Medium","Low","High","Public","Postgraduate",68,"11-20","3","2","2"
20,65,97,"High","Low","Medium","Public","College",65,"11-20","3","1","3"
23,68,70,"Medium","Medium","Medium","Public","High School",68,"21-30","2","2","3"
16,91,71,"Medium","High","Medium","Public","College",69,"11-20","2","2","2"
9,72,91,"Medium","High","Medium","Public","High School",62,"0-10","3","1","1"
17,61,75,"Medium","Medium","High","Public","College",62,"11-20","2","1","2"
26,98,90,"Low","High","Low","Public","Postgraduate",72,"21-30","3","3","3"
18,67,52,"High","Medium","Medium","Private","Postgraduate",64,"11-20","1","1","2"
15,60,63,"Low","Low","High","Public","High School",58,"11-20","1","1","2"
26,69,55,"Low","Low","Medium","Public","College",66,"21-30","1","2","3"
18,69,73,"Low","Low","High","Public","Postgraduate",64,"11-20","2","1","2"
17,77,93,"Low","High","High","Private","College",68,"11-20","3","2","2"
21,97,78,"Medium","High","Medium","Public","Postgraduate",69,"21-30","2","2","3"
25,95,76,"Medium","Low","Medium","Public","High School",71,"21-30","2","3","3"
34,78,68,"Medium","Medium","Medium","Public","College",71,"30+","2","3","4"
25,76,53,"Medium","High","High","Private","High School",67,"21-30","1","2","3"
27,82,88,"Medium","High","High","Private","High School",71,"21-30","3","3","3"
17,70,79,"Low","Medium","Medium","Public","High School",64,"11-20","2","1","2"
14,62,97,"High","Medium","Medium","Public","High School",62,"11-20","3","1","2"
20,98,72,"Medium","High","Medium","Public","High School",70,"11-20","2","3","3"
21,67,70,"Low","Low","Medium","Private","Postgraduate",63,"21-30","2","1","3"
14,68,99,"High","High","Medium","Public","High School",66,"11-20","3","2","2"
19,79,57,"Low","Low","Low","Public","High School",65,"11-20","1","1","2"
22,80,63,"Medium","High","Medium","Public","College",69,"21-30","1","2","3"
22,61,74,"Medium","Low","Medium","Public","High School",63,"21-30","2","1","3"
23,66,76,"Low","High","Medium","Public","College",64,"21-30","2","1","3"
22,75,77,"High","Low","Low","Public","High School",66,"21-30","2","2","3"
17,87,61,"Medium","High","Medium","Public","High School",67,"11-20","1","2","2"
17,69,96,"Medium","Low","Medium","Public","College",66,"11-20","3","2","2"
13,77,85,"Low","Low","Medium","Public","Postgraduate",65,"11-20","2","1","2"
31,82,63,"Medium","High","Medium","Private","Postgraduate",72,"30+","1","3","4"
20,96,65,"High","Medium","Low","Public","High School",70,"11-20","2","3","3"
19,73,94,"Medium","High","Low","Public","College",67,"11-20","3","2","2"
14,65,69,"Low","Medium","","Public","College",64,"11-20","2","1","2"
38,80,78,"Medium","Low","Medium","Public","College",72,"30+","2","3","4"
14,90,56,"Medium","Low","Medium","Public","High School",65,"11-20","1","1","2"
17,64,63,"Medium","High","Medium","Public","High School",62,"11-20","1","1","2"
22,77,71,"High","Low","Medium","Public","High School",67,"21-30","2","2","3"
24,61,83,"High","Medium","Medium","Public","High School",64,"21-30","2","1","3"
26,61,64,"Low","Medium","Medium","Private","Postgraduate",63,"21-30","2","1","3"
31,79,98,"Medium","Medium","High","Public","College",72,"30+","3","3","4"
23,72,61,"High","High","Medium","Public","High School",66,"21-30","1","2","3"
14,94,89,"Medium","Medium","Medium","Public","Postgraduate",70,"11-20","3","3","2"
18,84,68,"Low","Medium","High","Private","Postgraduate",66,"11-20","2","2","2"
22,78,92,"Low","High","High","Public","High School",70,"21-30","3","3","3"
32,76,96,"Low","Low","High","Public","High School",67,"30+","3","2","4"
12,80,59,"High","Low","High","Public","High School",64,"11-20","1","1","2"
27,62,75,"Medium","Medium","High","Public","",67,"21-30","2","2","3"
21,96,58,"Medium","High","High","Public","College",72,"21-30","1","3","3"
25,100,85,"Low","Medium","Medium","Public","High School",72,"21-30","2","3","3"
19,67,92,"Low","High","Medium","Public","Postgraduate",68,"11-20","3","2","2"
15,65,69,"Medium","High","Medium","Public","Postgraduate",64,"11-20","2","1","2"
25,66,70,"Medium","High","Medium","Public","High School",66,"21-30","2","2","3"
24,86,60,"Medium","Low","High","Private","College",68,"21-30","1","2","3"
26,86,65,"Low","Low","High","Public","High School",66,"21-30","2","2","3"
20,94,66,"High","Low","High","Private","High School",70,"11-20","2","3","3"
16,90,58,"High","Low","Medium","Public","Postgraduate",70,"11-20","1","3","2"
11,78,65,"Medium","Medium","","Private","High School",62,"11-20","2","1","2"
25,85,95,"Medium","Medium","Low","Public","College",69,"21-30","3","2","3"
23,88,66,"Low","Medium","High","Private","College",69,"21-30","2","2","3"
14,81,64,"Medium","Medium","Medium","Public","College",66,"11-20","2","2","2"
17,79,69,"Medium","Low","Medium","Public","Postgraduate",68,"11-20","2","2","2"
17,86,98,"Medium","Low","High","Public","Postgraduate",71,"11-20","3","3","2"
11,82,88,"Medium","Low","Medium","Private","Postgraduate",64,"11-20","3","1","2"
15,86,60,"Medium","Medium","Medium","Public","College",67,"11-20","1","2","2"
13,85,88,"Medium","Medium","High","Public","High School",68,"11-20","3","2","2"
18,89,88,"Low","High","","Public","",67,"11-20","3","2","2"
16,86,98,"High","Low","Medium","Public","Postgraduate",68,"11-20","3","2","2"
10,81,95,"Medium","Low","High","Public","High School",69,"0-10","3","2","2"
32,87,55,"Medium","Low","High","Public","High School",71,"30+","1","3","4"
28,78,73,"Low","Low","Medium","Private","High School",68,"21-30","2","2","3"
15,70,85,"High","Low","Medium","Private","College",65,"11-20","2","1","2"
22,60,99,"Medium","Low","High","Public","College",63,"21-30","3","1","3"
23,82,54,"Medium","Medium","High","Public","High School",65,"21-30","1","1","3"
27,84,68,"Low","Low","High","Private","Postgraduate",72,"21-30","2","3","3"
15,99,75,"Low","Medium","Low","Public","College",67,"11-20","2","2","2"
27,74,71,"Medium","Medium","Medium","Public","High School",69,"21-30","2","2","3"
17,76,73,"Medium","Low","High","Private","Postgraduate",67,"11-20","2","2","2"
12,68,68,"Low","Medium","Medium","Public","College",64,"11-20","2","1","2"
24,63,99,"Low","Low","Medium","Public","High School",62,"21-30","3","1","3"
28,91,90,"Medium","High","Low","Private","High School",71,"21-30","3","3","3"
36,70,87,"Medium","Low","Medium","Public","",70,"30+","2","3","4"
13,84,71,"Low","Medium","High","Public","College",64,"11-20","2","1","2"
24,88,94,"Medium","Low","Medium","Private","Postgraduate",69,"21-30","3","2","3"
18,79,55,"Medium","Low","High","Public","High School",65,"11-20","1","1","2"
25,95,57,"Medium","High","Medium","Private","College",73,"21-30","1","3","3"
11,78,98,"Low","Medium","Medium","Public","High School",64,"11-20","3","1","2"
12,71,78,"Low","Medium","Medium","Public","Postgraduate",64,"11-20","2","1","2"
15,96,58,"Medium","Medium","Medium","Public","Postgraduate",70,"11-20","1","3","2"
20,94,97,"Low","Medium","Medium","Public","College",70,"11-20","3","3","3"
16,67,99,"Medium","Medium","Medium","Public","High School",64,"11-20","3","1","2"
24,61,94,"Medium","Medium","High","Private","College",64,"21-30","3","1","3"
26,64,62,"High","Medium","High","Private","High School",66,"21-30","1","2","3"
24,71,64,"Medium","Medium","Medium","Public","College",66,"21-30","2","2","3"
30,99,70,"Low","Medium","Medium","Public","High School",74,"21-30","2","3","4"
22,82,79,"Medium","Medium","Medium","Public","College",69,"21-30","2","2","3"
13,75,100,"High","Medium","Medium","Public","Postgraduate",67,"11-20","3","2","2"
28,96,98,"High","Low","Medium","Public","High School",73,"21-30","3","3","3"
16,78,96,"High","Medium","Medium","Public","Postgraduate",66,"11-20","3","2","2"
25,73,54,"High","Medium","Medium","Public","High School",67,"21-30","1","2","3"
29,98,88,"Low","Low","Medium","Public","College",75,"21-30","3","3","3"
23,94,94,"Low","Medium","High","Public","High School",73,"21-30","3","3","3"
11,94,67,"Medium","High","Medium","Public","High School",67,"11-20","2","2","2"
14,80,61,"Medium","Medium","High","Public","College",65,"11-20","1","1","2"
28,92,87,"Low","Low","Low","Public","High School",71,"21-30","2","3","3"
19,67,55,"Low","Medium","Medium","Public","High School",63,"11-20","1","1","2"
20,83,97,"High","Low","High","Public","High School",68,"11-20","3","2","3"
25,99,58,"High","Medium","Medium","Private","High School",72,"21-30","1","3","3"
24,72,73,"Low","Medium","High","Public","High School",67,"21-30","2","2","3"
22,92,99,"Low","Medium","Medium","Public","College",71,"21-30","3","3","3"
19,80,99,"High","Low","Medium","Public","Postgraduate",67,"11-20","3","2","2"
18,62,89,"Medium","High","High","Private","Postgraduate",66,"11-20","3","2","2"
25,91,92,"Medium","Low","Medium","Public","High School",72,"21-30","3","3","3"
23,67,98,"Medium","Low","High","Public","College",64,"21-30","3","1","3"
18,85,96,"Medium","High","High","Public","College",68,"11-20","3","2","2"
26,63,81,"Medium","Low","Medium","Public","High School",65,"21-30","2","1","3"
19,98,87,"High","Medium","Medium","Private","Postgraduate",74,"11-20","2","3","2"
15,72,80,"Medium","Medium","High","Private","College",65,"11-20","2","1","2"
15,69,75,"Medium","Low","High","Public","High School",63,"11-20","2","1","2"
14,65,94,"Medium","Low","Medium","Private","Postgraduate",65,"11-20","3","1","2"
18,98,87,"Medium","Medium","Medium","Public","High School",70,"11-20","2","3","2"
27,88,93,"Medium","Low","Medium","Public","High School",71,"21-30","3","3","3"
15,90,55,"Medium","Low","Medium","Public","College",66,"11-20","1","2","2"
21,80,79,"Low","Medium","High","Public","College",69,"21-30","2","2","3"
16,79,66,"High","Medium","Medium","Public","College",67,"11-20","2","2","2"
18,64,76,"Low","Low","Medium","Public","High School",64,"11-20","2","1","2"
11,82,81,"High","Low","High","Public","High School",67,"11-20","2","2","2"
19,70,92,"Medium","Low","High","Public","High School",67,"11-20","3","2","2"
19,99,52,"Medium","Medium","Medium","Public","High School",70,"11-20","1","3","2"
23,92,58,"Medium","Low","Medium","Private","Postgraduate",71,"21-30","1","3","3"
21,77,96,"High","Low","High","Private","High School",68,"21-30","3","2","3"
13,66,98,"Low","High","High","Public","High School",65,"11-20","3","1","2"
27,91,53,"Medium","Low","Medium","Private","Postgraduate",70,"21-30","1","3","3"
21,65,67,"Low","Low","","Public","High School",64,"21-30","2","1","3"
21,68,50,"High","Medium","Low","Private","High School",67,"21-30","1","2","3"
20,68,88,"Medium","Low","Low","Private","High School",63,"11-20","3","1","3"
17,82,84,"High","Low","Low","Public","High School",65,"11-20","2","1","2"
21,91,78,"High","Low","High","Public","High School",70,"21-30","2","3","3"
23,73,85,"Medium","Low","Medium","Public","College",67,"21-30","2","2","3"
10,63,77,"Low","Low","Medium","Private","High School",60,"0-10","2","1","2"
17,79,62,"Low","Low","Medium","Public","High School",64,"11-20","1","1","2"
18,90,88,"Low","Medium","Medium","Private","High School",65,"11-20","3","1","2"
22,69,89,"Low","Low","High","Public","High School",64,"21-30","3","1","3"
27,69,93,"Medium","Medium","Medium","Public","College",67,"21-30","3","2","3"
15,98,98,"High","Medium","Medium","Private","High School",71,"11-20","3","3","2"
17,98,87,"Low","High","Medium","Private","High School",69,"11-20","2","2","2"
17,100,53,"Low","Medium","High","Public","High School",70,"11-20","1","3","2"
15,92,51,"Medium","High","High","Public","College",69,"11-20","1","2","2"
18,68,87,"High","Medium","Medium","Public","High School",69,"11-20","2","2","2"
25,68,53,"Low","Medium","","Public","College",64,"21-30","1","1","3"
14,74,66,"Medium","Medium","High","Private","Postgraduate",63,"11-20","2","1","2"
23,73,57,"Medium","Medium","Medium","Public","College",67,"21-30","1","2","3"
10,98,98,"Low","Medium","Medium","Public","College",66,"0-10","3","2","2"
17,92,66,"Medium","Low","Medium","Public","High School",69,"11-20","2","2","2"
18,89,53,"Medium","Low","High","Private","College",69,"11-20","1","2","2"
30,67,97,"High","High","Medium","Public","",69,"21-30","3","2","4"
18,96,80,"High","Low","Medium","Public","College",72,"11-20","2","3","2"
7,93,52,"High","Medium","Low","Private","High School",65,"0-10","1","1","1"
